drug_name,adr_text,smiles
3TC,acquired. Fa. Unevaluabl. lymphocyte. Multifoca. moto. redistribution. Muscl. atrophy. Lipodystroph. decreased. event. neuropathy. CD,C1[C@H](O[C@H](S1)CO)N2C=CC(=NC2=O)N
5-ASA,disease. bowe. Inflammator. Irritabl. syndrome,C1=CC(=C(C=C1N)C(=O)O)O
5-FLUOROURACIL,appetite. Neutropenia. disorder. Stridor. Dermatiti. Ches. Abdomina. paralytic. acneiform. deterioration. Decrease. pain. Genera. ineffective. Dru. Cardiovascula. healt. Respirator. Electrolyt. Ileu. Nausea. discomfort. imbalance. physica. failure,C1=C(C(=O)NC(=O)N1)F
5-FU,rupture. Metastase. nodes. Syncope. Haemorrhage. t. lymp. Haematemesis. Oesophagea,C1=C(C(=O)NC(=O)N1)F
6-MERCAPTOPURINE,Pyrexia. Lupus-lik. Therapeuti. Fatigue. Serositis. respons. decreased. syndrome. Arthropathy. Dermatitis,C1=NC2=C(N1)C(=S)N=CN2
ABILIFY,. pregnancy. arter. injuriou. Eosinophi. Neutrophi. Cardio-respirator. Hypertension. consciousness. cel. percentag. Vomiting. relate. Asphyxia. Dru. prolacti. Spina. arteria. Death. Devic. Pyrexia. convulsion. aggravated. Intracrania. upper. diabete. pai. Dyspnoea. Pancreatitis. Dee. Malaise. Lymphocyt. Crying. Gran. Typ. Rena. Papilloedema. infection. ineffective. Gai. Psychiatri. Rhabdomyolysis. Sel. hypertension. decreased. impaired. Hear. Somnolence. thrombosis. Dizziness. mellitus. Weigh. Speec. Neutropenia. ma. disorder. Re. Abdomina. stenosis. Choking. vei. arrest. hypersecretion. Thirst. Diabete. Amnesia. disturbance. durin. behaviour. Bloo. coun. Asthenia. Pneumonia. Nausea. Sepsis. Conditio. Abnorma. Constipation. rat. Exposur. Influenza. Depression. Aspiration. Aggression. Pulmonar. Los. Activitie. pain. o. increased. livin. Fall. Salivar. pressur. dail. Hyponatraemia. Anger. Convulsion. symptom. bloo. diastoli,C1CC(=O)NC2=C1C=CC(=C2)OCCCCN3CCN(CC3)C4=C(C(=CC=C4)Cl)Cl
ABILIFY MAINTENA,use. ideation. Psychiatri. Suicida. Dru. Of. disorder. labe. Schizoaffectiv. omission. symptom. dos,C1CC(=O)NC2=C1C=CC(=C2)OCCCCN3CCN(CC3)C4=C(C(=CC=C4)Cl)Cl
ABRAXANE,Rena. Dizziness. Throa. Rash. failure. tightness,CC1=C2[C@H](C(=O)[C@@]3([C@H](C[C@@H]4[C@]([C@H]3[C@@H]([C@@](C2(C)C)(C[C@@H]1OC(=O)[C@@H]([C@H](C5=CC=CC=C5)NC(=O)C6=CC=CC=C6)O)O)OC(=O)C7=CC=CC=C7)(CO4)OC(=O)C)O)C)OC(=O)C
ABSORICA,Depression. ideation. Suicida,CC1=C(C(CCC1)(C)C)/C=C/C(=C/C=C/C(=C\C(=O)O)/C)/C
ACCUTANE,Dru. Breas. hypersensitivity. cance. Nasopharyngitis. metastatic,CC1=C(C(CCC1)(C)C)/C=C/C(=C/C=C/C(=C\C(=O)O)/C)/C
ACEBUTOLOL,wit. an. reactio. Dru. hypersensitivity. systemi. symptoms. eosinophili,CCCC(=O)NC1=CC(=C(C=C1)OCC(CNC(C)C)O)C(=O)C
ACEMETACIN,Suicid. Intentiona. overdose. failure. attempt. Multi-orga,CC1=C(C2=C(N1C(=O)C3=CC=C(C=C3)Cl)C=CC(=C2)OC)CC(=O)OCC(=O)O
ACENOCOUMAROL,Hi. infection. fracture. trac. Fall. Urinar,CC(=O)CC(C1=CC=C(C=C1)[N+](=O)[O-])C2=C(C3=CC=CC=C3OC2=O)O
ACETAMINOPHEN,Muscula. Febril. Neuropath. Muscl. Incorrec. Overdose. statu. Atrophi. Hypertension. consciousness. Atria. abnormal. Paraesthesia. relate. Dru. Flatulence. spasms. Gastrointestina. Rash. Dyskinesia. absent. Drug-induce. ataxia. Puls. Insomnia. Pyrexia. sinu. Menta. Sputu. haemorrhage. Dee. overdose. Pruritus. dos. progression. Hepati. live. changes. Haemoglobi. reaction. Ageusia. stimuli. Gai. aspergillosis. Irritabl. leve. decreased. Unresponsiv. enzym. bowe. Hypersensitivity. thrombosis. Cough. injury. Pain. glossitis. Dizziness. Weigh. disorder. administered. Abdomina. Diseas. peripheral. stroke. vei. neutropenia. Bronchopulmonar. Flushing. Unevaluabl. Cerebella. Fatigue. disturbance. Alopecia. behaviour. weakness. Bloo. movemen. Abnorma. Hypotonia. event. appetite. Serotoni. Influenza. incontinence. t. Urinar. Aggression. Los. Suicid. Increase. Intentiona. fibrillation. distension. Headache. Faeca. Infusio. o. increased. Neurologica. interaction. Sic. pressur. Hospitalisation. syndrome. Ischaemi. Anger. Ey. attempt. diastoli. decompensation,CC(=O)NC1=CC=C(C=C1)O
ACETAZOLAMIDE,Rena. disease. Fatigue. Hypotension. insufficiency. Alopecia. failure. Addison^. Asthenia. Adrena,CC(=O)NC1=NN=C(S1)S(=O)(=O)N
ACETYLCYSTEINE,syndrome. Myelodysplasti,CC(=O)N[C@@H](CS)C(=O)O
ACETYLSALICYLIC ACID,Join. Pyrexia. oedema. Rheumatoi. Erythema. Urinar. Neutropenia. Skeleta. Pruritus. Urticaria. swelling. cel. Haemoglobi. pustular. Haematuria. Blister. increased. interaction. infection. myeloma. Fatigue. trac. Syncope. Plasm. Fall. Painfu. Swelling. Dru. Thrombocytopenia. Myalgia. Cerebrovascula. Splenomegaly. decreased. Bloo. respiration. Pneumonia. shock. accident. creatinin. Death. Excoriation. Cough. injury. Diarrhoea. arthritis. Pain. Fac. Ras. Septi. papulosquamous,CC(=O)OC1=CC=CC=C1C(=O)O
ACICLOVIR,Urticaria. stroke. interaction. Hypersensitivity. Bon. Dru. failure. Thrombocytopenia. marro. Ischaemi,C1=NC2=C(N1COCCO)N=C(NC2=O)N
ACINON,Akathisia. ineffective. Weigh. Somnolence. Dru. Sedation. Abnorma. Constipation. decreased. behaviour. Subileus,CNC(=C[N+](=O)[O-])NCCSCC1=CSC(=N1)CN(C)C
