CID100000085	C[N+](C)(C)CC(O)CC(=O)[O-]
CID100000143	Nc1nc2c(c(=O)[nH]1)N(C=O)C(CNc1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1)CN2
CID100000146	CN1c2c(nc(N)[nH]c2=O)NCC1CNc1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1
CID100000158	CCCCC[C@H](O)/C=C/[C@H]1[C@H](O)CC(=O)[C@@H]1C/C=C\CCCC(=O)O
CID100000159	CCCCC[C@H](O)/C=C/[C@@H]1[C@H]2C/C(=C/CCCC(=O)O)O[C@H]2C[C@H]1O
CID100000160	CCCCCC(/C=C/C1C=CC(=O)C1C/C=C/CCCC(=O)OC)OC(C)=O
CID100000175	CC(=O)[O-]
CID100000187	CC(=O)OCC[N+](C)(C)C
CID100000191	Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O
CID100000206	OC[C@H]1OC(O)[C@H](O)[C@@H](O)[C@@H]1O
CID100000214	CCCCC[C@H](O)/C=C/[C@H]1[C@H](O)CC(=O)[C@@H]1CCCCCCC(=O)O
CID100000222	N
CID100000232	NC(N)=NCCC[C@H](N)C(=O)O
CID100000244	[CH2]c1ccccc1
CID100000247	C[N+](C)(C)CC(=O)[O-]
CID100000271	[Ca]
CID100000297	[C]
CID100000298	O=C(N[C@H](CO)[C@H](O)c1ccc([N+](=O)[O-])cc1)C(Cl)Cl
CID100000303	COc1cccc(-c2nnc(N)s2)c1OC
CID100000305	C[N+](C)(C)CCO
CID100000311	CC(C)=CCCC(C)CC=O
CID100000312	[Cl-]
CID100000338	O=C(O)c1ccccc1[O-]
CID100000401	N[C@@H]1CONC1=O
CID100000444	CC(NC(C)(C)C)C(=O)c1cccc(Cl)c1
CID100000450	C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CC[C@@H]2O
CID100000453	OC[C@@H](O)[C@@H](O)[C@H](O)[C@H](O)CO
CID100000564	NCCCCCC(=O)O
CID100000581	CC(=O)N[C@@H](CS)C(=O)O
CID100000596	Nc1ccn([C@@H]2O[C@H](CO)[C@@H](O)[C@@H]2O)c(=O)n1
CID100000598	O=S(=O)([O-])CCS.[Na+]
CID100000612	CC(O)C(=O)[O-]
CID100000679	CS(C)=O
CID100000681	NCCc1ccc(O)c(O)c1
CID100000698	C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CCC2=O
CID100000700	NCCO
CID100000727	ClC1C(Cl)C(Cl)C(Cl)C(Cl)C1Cl
CID100000738	NC(=O)CC[C@H](N)C(=O)O
CID100000750	NCC(=O)O
CID100000753	OCC(O)CO
CID100000767	O=C([O-])O
CID100000772	CC(=O)NC1C(O)OC(COS(=O)(=O)O)C(OC2OC(C(=O)O)C(OC3OC(CO)C(OC4OC(C(=O)O)C(O)C(O)C4OS(=O)(=O)O)C(OS(=O)(=O)O)C3NS(=O)(=O)O)C(O)C2OS(=O)(=O)O)C1O
CID100000774	NCCc1cnc[nH]1
CID100000785	Oc1ccc(O)cc1
CID100000813	[K]
CID100000815	NC[C@H]1O[C@H](O[C@H]2[C@H](O)[C@@H](O[C@H]3O[C@H](CO)[C@@H](O)[C@H](N)[C@H]3O)[C@H](N)C[C@@H]2N)[C@H](O)[C@@H](O)[C@@H]1O
CID100000838	CNC[C@H](O)c1ccc(O)c(O)c1
CID100000853	N[C@@H](Cc1cc(I)c(Oc2cc(I)c(O)c(I)c2)c(I)c1)C(=O)O
CID100000861	N[C@@H](Cc1cc(I)c(Oc2ccc(O)c(I)c2)c(I)c1)C(=O)O
CID100000888	[Mg]
CID100000896	COc1ccc2[nH]cc(CCNC(C)=O)c2c1
CID100000923	[Na]
CID100000937	O=C(O)c1cccnc1
CID100000942	CN1CCC[C@H]1c1cccnc1
CID100000946	O=N[O-]
CID100000951	NC[C@H](O)c1ccc(O)c(O)c1
CID100001003	O=P([O-])([O-])[O-]
CID100001046	NC(=O)c1cnccn1
CID100001054	Cc1ncc(CO)c(CO)c1O
CID100001065	C=C[C@H]1CN2CC[C@H]1C[C@@H]2[C@@H](O)c1ccnc2ccc(OC)cc12
CID100001071	CC1=C(/C=C/C(C)=C/C=C/C(C)=C/CO)C(C)(C)CCC1
CID100001084	O=S([O-])([O-])=S
CID100001125	CC(O)C(O)C1CNc2nc(N)[nH]c(=O)c2N1
